typosquatting_perpetrator,typosquatting_target,repository,detected,,,,,,,,,,,,
active-scaffold_config_list_vho,active_scaffold_config_list_vho,rubygems,yes,,,,,,,,,,,,
active-serializer,active_serializer,rubygems,yes,,,,,,,,,,,,
active-support_alias_class_method,active_support_alias_class_method,rubygems,yes,,,,,,,,,,,,
acts-as_list_with_sti_support,acts_as_list_with_sti_support,rubygems,yes,,,,,,,,,,,,
acts-as_liked,acts_as_liked,rubygems,yes,,,,,,,,,,,,
acts-as_likeable,acts_as_likeable,rubygems,yes,,,,,,,,,,,,
activeadmin_mongoid-localize,activeadmin-mongoid-localize,rubygems,yes,,,,,,,,,,,,
activeadmin-globalize_inputs,activeadmin_globalize_inputs,rubygems,yes,,,,,,,,,,,,
apache-sling_api_client,apache_sling_api_client,rubygems,yes,,,,,,,,,,,,
auto-localize,auto_localize,rubygems,yes,,,,,,,,,,,,
auto-flick,auto_flick,rubygems,yes,,,,,,,,,,,,
auto-click,auto_click,rubygems,yes,,,,,,,,,,,,
api-client_builder,api_client_builder,rubygems,yes,,,,,,,,,,,,
activemerchant_clickandbuy,activemerchant-clickandbuy,rubygems,yes,,,,,,,,,,,,
activemerchant_payline,active_merchant_payline,rubygems,yes,,,,,,,,,,,,
api-geo_client,api_geo_client,rubygems,yes,,,,,,,,,,,,
activerecord-json_validator,activerecord_json_validator,rubygems,yes,,,,,,,,,,,,
aker-cas-cli,aker-cas_cli,rubygems,yes,,,,,,,,,,,,
attr-validator,attr_validator,rubygems,yes,,,,,,,,,,,,
age-validator,age_validator,rubygems,yes,,,,,,,,,,,,
activerecord-globalize,activerecord_globalize,rubygems,yes,,,,,,,,,,,,
agave_client,agave-client,rubygems,yes,,,,,,,,,,,,
apple_news-client,apple-news-client,rubygems,yes,,,,,,,,,,,,
apple-class_client,apple_class_client,rubygems,yes,,,,,,,,,,,,
apple-dep_client,apple_dep_client,rubygems,yes,,,,,,,,,,,,
application-digester,application_digester,rubygems,yes,,,,,,,,,,,,
ae-validates-timeliness,ae-validates_timeliness,rubygems,yes,,,,,,,,,,,,
application-insights,application_insights,rubygems,yes,,,,,,,,,,,,
application-seeds,application_seeds,rubygems,yes,,,,,,,,,,,,
active-subset_validator,active_subset_validator,rubygems,yes,,,,,,,,,,,,
aptible_cli,aptible-cli,rubygems,yes,,,,,,,,,,,,
asset-pipeline_i18n,asset_pipeline_i18n,rubygems,yes,,,,,,,,,,,,
aptly-cli,aptly_cli,rubygems,yes,,,,,,,,,,,,
adyen_ruby-api-library,adyen-ruby-api-library,rubygems,yes,,,,,,,,,,,,
asset-host_client,asset_host_client,rubygems,yes,,,,,,,,,,,,
advisors-command_client,advisors_command_client,rubygems,yes,,,,,,,,,,,,
activerecord-database-validations,activerecord-database_validations,rubygems,yes,,,,,,,,,,,,
activerecord_databasevalidations,activerecord-databasevalidations,rubygems,yes,,,,,,,,,,,,
ar_serialize-helpers,ar-serialize-helpers,rubygems,yes,,,,,,,,,,,,
activerecord_duplicate,activerecord-duplicate,rubygems,yes,,,,,,,,,,,,
aspose-slides_cloud,aspose_slides_cloud,rubygems,yes,,,,,,,,,,,,
asciidoctor_pdf-linewrap-ja,asciidoctor-pdf-linewrap-ja,rubygems,yes,,,,,,,,,,,,
address-validate,address_validate,rubygems,yes,,,,,,,,,,,,
arabic-normalizer,arabic_normalizer,rubygems,yes,,,,,,,,,,,,
archivist_client,archivist-client,rubygems,yes,,,,,,,,,,,,
array-xml-serialization,array-xml_serialization,rubygems,yes,,,,,,,,,,,,
argentinian_validations,argentinian-validations,rubygems,yes,,,,,,,,,,,,
ardm_serializer,ardm-serializer,rubygems,yes,,,,,,,,,,,,
acme_client,acme-client,rubygems,yes,,,,,,,,,,,,
activerecord_denormalize,activerecord-denormalize,rubygems,yes,,,,,,,,,,,,
arethusa_cli,arethusa-cli,rubygems,yes,,,,,,,,,,,,
ardm_sqlite-adapter,ardm-sqlite-adapter,rubygems,yes,,,,,,,,,,,,
arethusa_client,arethusa-client,rubygems,yes,,,,,,,,,,,,
artoo_crazyflie,artoo-crazyflie,rubygems,yes,,,,,,,,,,,,
action-cable_subscription_adapter,action_cable_subscription_adapter,rubygems,yes,,,,,,,,,,,,
action-pubsub,action_pubsub,rubygems,yes,,,,,,,,,,,,
action-subscriber,action_subscriber,rubygems,yes,,,,,,,,,,,,
acts-as_subscribable,acts_as_subscribable,rubygems,yes,,,,,,,,,,,,
after-the_deadline,after_the_deadline,rubygems,yes,,,,,,,,,,,,
ajax-submit_rails,ajax_submit_rails,rubygems,yes,,,,,,,,,,,,
assembly_client,assembly-client,rubygems,yes,,,,,,,,,,,,
assemblyline_ruby,assemblyline-ruby,rubygems,yes,,,,,,,,,,,,
array_subindex,array-subindex,rubygems,yes,,,,,,,,,,,,
asset-symlink,asset_symlink,rubygems,yes,,,,,,,,,,,,
aws-sns_subscription,aws_sns_subscription,rubygems,yes,,,,,,,,,,,,
approval_ratings-cli-app,approval-ratings-cli-app,rubygems,yes,,,,,,,,,,,,
campaign-monitor_subscriber,campaign_monitor_subscriber,rubygems,yes,,,,,,,,,,,,
activerecord_like,activerecord-like,rubygems,yes,,,,,,,,,,,,
applicious-utils,applicious_utils,rubygems,yes,,,,,,,,,,,,
assets-live_compile,assets_live_compile,rubygems,yes,,,,,,,,,,,,
activerecord-msgpack-serializer,activerecord-msgpack_serializer,rubygems,yes,,,,,,,,,,,,
abbyy_cloud,abbyy-cloud,rubygems,yes,,,,,,,,,,,,
abn-validator,abn_validator,rubygems,yes,,,,,,,,,,,,
alias-class,alias_class,rubygems,yes,,,,,,,,,,,,
applicaster_logger,applicaster-logger,rubygems,yes,,,,,,,,,,,,
applicant-tracking_api,applicant_tracking_api,rubygems,yes,,,,,,,,,,,,
acception_client,acception-client,rubygems,yes,,,,,,,,,,,,
aliyun_mqs,aliyun-mqs,rubygems,yes,,,,,,,,,,,,
